timestamp,balance,equity,yesterday_high,daily_dd,open_trades,unrealized_pnl
2023-03-13 12:00:00+00:00,58655.615929963766,58469.432665319575,61230.562562801395,4.50939821865895,23,-186.1832646441915
2023-03-13 14:00:00+00:00,58655.615929963766,58447.51673998134,61230.562562801395,4.5451906798432695,23,-208.09918998242242
2023-03-17 17:00:00+00:00,57670.07532929829,57399.00455513284,60208.50981572355,4.66629263735241,29,-271.0707741654587
2023-03-17 18:00:00+00:00,57670.07532929829,57436.11925720581,60208.50981572355,4.604649022211342,29,-233.9560720924786
2023-05-02 09:00:00+00:00,77822.74154604143,80029.44758437453,83897.53828846816,4.61049368432459,49,2206.7060383330986
2023-05-02 11:00:00+00:00,77822.74154604143,80010.96284057116,83897.53828846816,4.632526206589807,49,2188.2212945297206
2023-05-02 12:00:00+00:00,77822.74154604143,80272.33735233196,83897.53828846816,4.320986062393787,49,2449.595806290528
2023-05-02 13:00:00+00:00,77822.74154604143,80047.40830176564,83897.53828846816,4.589085764905844,49,2224.666755724201
2023-05-04 12:00:00+00:00,80637.06228116981,83624.08211818885,87968.15459944574,4.938233046989786,53,2987.019837019027
2023-05-04 13:00:00+00:00,80637.06228116981,83459.17180910206,87968.15459944574,5.125698965580087,53,2822.10952793225
2023-05-04 14:00:00+00:00,80637.06228116981,82923.5158601326,87968.15459944574,5.734619263395267,53,2286.4535789627844
2023-05-04 15:00:00+00:00,80637.06228116981,82591.95820368144,87968.15459944574,6.111525722284704,53,1954.8959225116234
2023-05-04 16:00:00+00:00,80637.06228116981,81983.92838113337,87968.15459944574,6.802718831105356,53,1346.8660999635554
2023-05-04 17:00:00+00:00,80637.06228116981,81928.6077697294,87968.15459944574,6.865605919797707,53,1291.5454885595861
2023-05-04 18:00:00+00:00,80637.06228116981,82360.27492323295,87968.15459944574,6.374897486195673,53,1723.212642063144
2023-05-04 19:00:00+00:00,80637.06228116981,82723.85975473667,87968.15459944574,5.961583335001684,53,2086.7974735668495
2023-05-04 20:00:00+00:00,80637.06228116981,82692.10006622215,87968.15459944574,5.997686955293745,53,2055.037785052338
2023-07-24 08:00:00+00:00,106921.96141913599,108206.47290575068,113099.97599954104,4.326705687196806,40,1284.5114866146948
2023-07-24 09:00:00+00:00,106921.96141913599,108212.0772506898,113099.97599954104,4.32175047399751,40,1290.115831553825
2023-07-24 10:00:00+00:00,106921.96141913599,107744.0986798727,113099.97599954104,4.735524718139711,40,822.1372607367155
2023-07-24 12:00:00+00:00,106921.96141913599,108195.55015926909,113099.97599954104,4.336363290025684,40,1273.5887401331038
2023-07-24 14:00:00+00:00,106921.96141913599,107135.78375397301,113099.97599954104,5.27338064651069,40,213.82233483701748
2023-07-24 15:00:00+00:00,106921.96141913599,107792.79713682224,113099.97599954104,4.692466833715636,40,870.8357176862494
2023-07-24 19:00:00+00:00,106921.96141913599,108197.64160637937,113099.97599954104,4.334514087944248,40,1275.6801872433846
2023-07-27 17:00:00+00:00,103987.45763749446,99374.27972426004,109864.75089106693,9.548532246897281,55,-4613.17791323442
2023-07-27 18:00:00+00:00,103987.45763749446,97283.76825823326,109864.75089106693,11.451336785269698,55,-6703.68937926119
2023-07-27 19:00:00+00:00,103987.45763749446,95131.72151078837,109864.75089106693,13.410151354993422,55,-8855.736126706093
2023-07-27 20:00:00+00:00,103987.45763749446,97750.8027833116,109864.75089106693,11.026237268554443,55,-6236.654854182855
2023-07-27 21:00:00+00:00,98094.61613288205,95636.79959969663,109864.75089106693,12.950424204281488,53,-2457.816533185404
