date,start_balance,daily_dd_base,min_equity_allowed,lowest_equity,max_daily_dd_pct
2023-01-05,60000.0,60000.0,57000.0,60000.0,0.0
2023-01-06,60000.0,60000.0,57000.0,60000.0,0.0
2023-01-07,60000.0,60000.0,57000.0,60000.0,0.0
2023-01-08,60000.0,60000.0,57000.0,60000.0,0.0
2023-01-09,60000.0,60000.0,57000.0,60000.0,0.0
2023-01-10,60000.0,60000.0,57000.0,60000.0,0.0
2023-01-11,60000.0,60000.0,57000.0,60000.0,0.0
2023-01-12,60000.0,60000.0,57000.0,60000.0,0.0
2023-01-13,60000.0,60000.0,57000.0,60000.0,0.0
2023-01-14,60580.96,60580.96,57551.912,60580.96,0.0
2023-01-15,60580.96,60580.96,57551.912,60580.96,0.0
2023-01-16,60580.96,60580.96,57551.912,60580.96,0.0
2023-01-17,60580.96,60580.96,57551.912,60580.96,0.0
2023-01-18,60580.96,60580.96,57551.912,60580.96,0.0
2023-01-19,60580.96,60580.96,57551.912,60580.96,0.0
2023-01-20,60580.96,60580.96,57551.912,60580.96,0.0
2023-01-21,60580.96,60580.96,57551.912,60580.96,0.0
2023-01-22,60580.96,60580.96,57551.912,60580.96,0.0
2023-01-23,60580.96,60580.96,57551.912,60580.96,0.0
2023-01-24,60580.96,60580.96,57551.912,60580.96,0.0
2023-01-25,61160.44,61160.44,58102.418,61160.44,0.0
2023-01-26,61160.44,61160.44,58102.418,61160.44,0.0
2023-01-27,61160.44,61160.44,58102.418,61160.44,0.0
2023-01-28,61160.44,61160.44,58102.418,61160.44,0.0
2023-01-29,61160.44,61160.44,58102.418,61160.44,0.0
2023-01-30,61160.44,61160.44,58102.418,61160.44,0.0
2023-01-31,61741.9,61741.9,58654.805,61741.9,0.0
2023-02-01,61741.9,61741.9,58654.805,61351.55,0.6322286810091665
2023-02-02,61351.55,61351.55,58283.9725,60958.87,0.6400490289161404
2023-02-03,60958.87,60958.87,57910.9265,60958.87,0.0
2023-02-04,61723.57,61723.57,58637.3915,61723.57,0.0
2023-02-05,61723.57,61723.57,58637.3915,61723.57,0.0
2023-02-06,61723.57,61723.57,58637.3915,61332.64,0.6333561069134535
2023-02-07,61332.64,61332.64,58266.007999999994,61332.64,0.0
2023-02-08,61332.64,61332.64,58266.007999999994,61332.64,0.0
2023-02-09,61332.64,61332.64,58266.007999999994,61332.64,0.0
2023-02-10,61332.64,61332.64,58266.007999999994,61332.64,0.0
2023-02-11,61332.64,61332.64,58266.007999999994,61332.64,0.0
2023-02-12,61332.64,61332.64,58266.007999999994,61332.64,0.0
2023-02-13,61332.64,61332.64,58266.007999999994,60196.29,1.8527655095231486
2023-02-14,60196.29,60196.29,57186.4755,60196.29,0.0
2023-02-15,60196.29,60196.29,57186.4755,60196.29,0.0
2023-02-16,60196.29,60196.29,57186.4755,59806.04,0.6482957670647145
2023-02-17,59806.04,59806.04,56815.738,59806.04,0.0
2023-02-18,59806.04,59806.04,56815.738,59806.04,0.0
2023-02-19,59806.04,59806.04,56815.738,59806.04,0.0
2023-02-20,59806.04,59806.04,56815.738,59806.04,0.0
2023-02-21,59806.04,59806.04,56815.738,59806.04,0.0
2023-02-22,59806.04,59806.04,56815.738,59806.04,0.0
2023-02-23,59806.04,59806.04,56815.738,59806.04,0.0
2023-02-24,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-02-25,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-02-26,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-02-27,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-02-28,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-03-01,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-03-02,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-03-03,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-03-04,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-03-05,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-03-06,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-03-07,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-03-08,60388.770000000004,60388.770000000004,57369.3315,60388.770000000004,0.0
2023-03-09,60388.770000000004,60388.770000000004,57369.3315,58894.08000000001,2.4751125085011583
2023-03-10,58894.08000000001,58894.08000000001,55949.376000000004,58519.71000000001,0.6356666068983547
2023-03-11,58519.71000000001,58519.71000000001,55593.724500000004,58519.71000000001,0.0
2023-03-12,59102.950000000004,59102.950000000004,56147.8025,59102.950000000004,0.0
2023-03-13,60551.95000000001,60651.1114478074,57618.55587541703,59908.39190409075,1.224576971447243
2023-03-14,60575.70000000001,60734.910834279784,57698.16529256579,59332.396261701826,2.3092395350753625
2023-03-15,61677.17000000003,61972.412207219706,58873.79159685872,61591.414267844564,0.6147863634889399
2023-03-16,61901.11000000002,62015.46086983136,58914.68782633979,61842.26952890853,0.2792712309053909
2023-03-17,62522.11000000002,62687.26352354521,59552.90034736795,60681.68011362923,3.199347518436007
2023-03-18,60971.520000000026,60971.520000000026,57922.944000000025,60772.710141846845,0.32607003754077507
2023-03-19,60971.520000000026,60971.520000000026,57922.944000000025,60694.09339237323,0.4550101549490578
2023-03-20,61178.520000000026,61178.520000000026,58119.59400000002,60702.61271283031,0.7778993136311786
2023-03-21,61589.52000000003,61589.52000000003,58510.04400000003,61179.375571458,0.6659321724573213
2023-03-22,62624.52000000003,62624.52000000003,59493.29400000003,62493.67339179923,0.0
2023-03-23,63997.420000000035,64008.60270379282,60808.17256860318,63174.39766582808,1.3032701898292025
2023-03-24,63997.420000000035,63997.420000000035,60797.54900000003,63182.22827193133,1.2737884247032214
2023-03-25,63997.420000000035,63997.420000000035,60797.54900000003,63541.56918550055,0.7122956120723063
2023-03-26,63997.420000000035,63997.420000000035,60797.54900000003,63410.75974098252,0.9166936089259798
2023-03-27,63997.420000000035,63997.420000000035,60797.54900000003,63370.86499951672,0.9790316554687872
2023-03-28,63997.420000000035,63997.420000000035,60797.54900000003,62722.09828009771,1.9927705209090096
2023-03-29,64408.42000000002,64408.42000000002,61187.99900000002,63378.02976745363,1.599775669930101
2023-03-30,64615.42000000002,64615.42000000002,61384.64900000002,63710.44266604685,1.4005593927164248
2023-03-31,65029.42000000002,65029.42000000002,61777.949000000015,63141.47188458994,2.903221519444705
2023-04-01,64819.42000000003,64819.42000000003,61578.44900000002,63141.47188458994,2.5886503079016845
2023-04-02,64819.42000000003,64819.42000000003,61578.44900000002,63141.47188458994,2.5886503079016845
2023-04-03,64813.42000000004,64813.42000000004,61572.74900000004,63371.683660387884,2.2244410796593628
2023-04-04,65020.42000000004,65020.42000000004,61769.399000000034,62539.0840807979,3.816240988911089
2023-04-05,63810.31000000004,63810.31000000004,60619.79450000004,63366.81788487994,0.6950163933071279
2023-04-06,63972.11000000004,63972.11000000004,60773.50450000003,63343.12876595751,0.983211643390419
2023-04-07,63972.11000000004,64028.14412021587,60826.736914205074,63915.842949533995,0.17539344959151354
2023-04-08,64179.11000000004,64179.11000000004,60970.15450000003,64137.93930363006,0.06414968417289706
2023-04-09,64179.11000000004,64179.11000000004,60970.15450000003,64128.94504717094,0.0781639895428505
2023-04-10,64386.11000000004,64386.11000000004,61166.804500000035,63239.77160331155,1.7804125714202739
2023-04-11,63809.67000000004,63809.67000000004,60619.18650000004,63401.41714729278,0.6397977809746771
2023-04-12,63809.67000000004,64071.5564028724,60867.97858272877,63933.632508803574,0.21526540295287658
2023-04-13,64430.67000000005,65199.85611909168,61939.863313137095,64823.40938576544,0.5773735645039458
2023-04-14,65465.67000000004,65465.67000000004,62192.38650000004,65244.42407845781,0.33795716371990825
2023-04-15,65672.67000000004,66280.26771875251,62966.25433281488,66237.44233412948,0.06461257037276555
2023-04-16,65672.67000000004,66280.26771875251,62966.25433281488,66237.44233412948,0.06461257037276555
2023-04-17,65672.67000000004,66462.40683515804,63139.28649340013,66462.40683515804,0.0
2023-04-18,66461.51000000004,66840.44336878638,63498.42120034705,66757.05633108276,0.124755362922327
2023-04-19,66461.51000000004,67035.27611692963,63683.51231108314,66665.36806525542,0.5518110360714857
2023-04-20,66875.51000000004,67436.90834003613,64065.06292303432,66702.79307455412,1.0885956719432999
2023-04-21,66875.51000000004,67016.75623865901,63665.91842672606,66784.89615016652,0.34597330802881565
2023-04-22,67496.51000000004,68536.99753691423,65110.14766006852,68418.30912805075,0.17317421703446728
2023-04-23,67496.51000000004,68536.99753691423,65110.14766006852,68383.67192328106,0.22371218340954446
2023-04-24,67496.51000000004,68586.95529289886,65157.60752825391,68122.6562271918,0.6769495215588516
2023-04-25,68531.51000000004,69361.99940388155,65893.89943368747,68592.15549469052,1.1098929036176903
2023-04-26,68738.51000000004,68986.41002873048,65537.08952729395,68758.42071313685,0.3304843888798968
2023-04-27,69152.51000000004,69750.0363016765,66262.53448659267,69056.3231355342,0.9945703298875997
2023-04-28,69566.51000000004,69567.4193788956,66089.04840995082,68684.78164858338,1.268751576804918
2023-04-29,71429.51000000005,71429.51000000005,67858.03450000005,70905.18085255582,0.7340511609896767
2023-04-30,71429.51000000005,71429.51000000005,67858.03450000005,70859.97198319668,0.797342746441034
2023-05-01,71429.51000000005,71429.51000000005,67858.03450000005,70998.03340585766,0.6040592944602269
2023-05-02,72257.51000000005,73039.52372896009,69387.54754251208,72073.95832554449,1.3219765876331386
2023-05-03,73458.93000000004,73944.69365805112,70247.45897514856,73341.82930638052,0.8152908908629537
2023-05-04,74493.93000000002,74647.91575051917,70915.5199629932,72325.20901545824,3.1115493469685713
2023-05-05,75321.93000000002,75321.93000000002,71555.83350000002,75007.61196356935,0.4172994988719425
2023-05-06,77476.25000000003,77476.25000000003,73602.43750000003,75501.24607551437,2.5491733589140657
2023-05-07,77476.25000000003,77476.25000000003,73602.43750000003,75487.56389672191,2.5668331950476637
2023-05-08,77476.25000000003,77476.25000000003,73602.43750000003,74360.95557798947,4.020966969891489
2023-05-09,76642.25000000003,76642.25000000003,72810.13750000003,74327.42315203314,3.020301267208218
2023-05-10,75808.25000000003,75808.25000000003,72017.83750000002,72932.35126518573,3.793648758300445
