time,Open,High,Low,Close,Volume
2023-01-01 22:00:00,1.6846,1.70758,1.67059,1.68532,34379.0
2023-01-02 22:00:00,1.6889,1.69742,1.6781,1.68779,77038.0
2023-01-03 22:00:00,1.68638,1.68998,1.67165,1.68467,85982.0
2023-01-04 22:00:00,1.6818,1.69392,1.68128,1.68958,79247.0
2023-01-05 22:00:00,1.69346,1.69462,1.674,1.67724,88211.0
2023-01-08 22:00:00,1.6799,1.68594,1.6674,1.68508,67630.0
2023-01-09 22:00:00,1.68195,1.68926,1.68134,1.6852,84040.0
2023-01-10 22:00:00,1.6884,1.69746,1.68312,1.68984,53443.0
2023-01-11 22:00:00,1.69006,1.70276,1.68724,1.69718,119220.0
2023-01-12 22:00:00,1.69974,1.70407,1.69231,1.69688,73794.0
2023-01-15 22:00:00,1.69708,1.69954,1.69081,1.69607,64656.0
2023-01-16 22:00:00,1.69645,1.6981,1.67728,1.67806,84706.0
2023-01-17 22:00:00,1.67968,1.67981,1.66668,1.67504,109594.0
2023-01-18 22:00:00,1.67698,1.69831,1.67396,1.694,71106.0
2023-01-19 22:00:00,1.69285,1.69483,1.67638,1.67716,52200.0
2023-01-22 22:00:00,1.67974,1.68729,1.67369,1.6752,62085.0
2023-01-23 22:00:00,1.67571,1.67808,1.66822,1.67372,46675.0
2023-01-24 22:00:00,1.67632,1.6886,1.67328,1.6847,57912.0
2023-01-25 22:00:00,1.68482,1.68618,1.6755,1.67808,47113.0
2023-01-26 22:00:00,1.6788,1.67956,1.6715,1.67392,33312.0
2023-01-29 22:00:00,1.67452,1.68174,1.67172,1.67762,37913.0
2023-01-30 22:00:00,1.67767,1.68882,1.67604,1.68701,43961.0
2023-01-31 22:00:00,1.68617,1.69764,1.6854,1.68917,72816.0
2023-02-01 22:00:00,1.69027,1.69144,1.67564,1.68514,57337.0
2023-02-02 22:00:00,1.68467,1.70802,1.68132,1.70611,54514.0
2023-02-05 22:00:00,1.70874,1.71108,1.70072,1.70086,50762.0
2023-02-06 22:00:00,1.70146,1.70211,1.69164,1.69585,69678.0
2023-02-07 22:00:00,1.6965,1.70264,1.69447,1.69902,34810.0
2023-02-08 22:00:00,1.6986,1.69964,1.68663,1.69734,37388.0
2023-02-09 22:00:00,1.69754,1.70122,1.687,1.69224,40873.0
2023-02-12 22:00:00,1.69246,1.6945,1.68309,1.68624,30455.0
2023-02-13 22:00:00,1.68664,1.70182,1.68576,1.69438,65958.0
2023-02-14 22:00:00,1.69446,1.70908,1.69398,1.70146,43029.0
2023-02-15 22:00:00,1.70234,1.70956,1.69692,1.70572,55210.0
2023-02-16 22:00:00,1.70398,1.71688,1.70398,1.71299,39110.0
2023-02-19 22:00:00,1.71356,1.71704,1.70588,1.70882,26605.0
2023-02-20 22:00:00,1.70878,1.71772,1.7042,1.71348,48569.0
2023-02-21 22:00:00,1.71364,1.71719,1.7028,1.70508,54931.0
2023-02-22 22:00:00,1.70573,1.70636,1.69884,1.70142,34939.0
2023-02-23 22:00:00,1.7015,1.7143,1.69834,1.71078,47243.0
2023-02-26 22:00:00,1.71128,1.72111,1.70942,1.72048,30793.0
2023-02-27 22:00:00,1.71946,1.72893,1.709,1.70984,33750.0
2023-02-28 22:00:00,1.70998,1.71385,1.70024,1.70524,49983.0
2023-03-01 22:00:00,1.70793,1.71116,1.70264,1.7039,38348.0
2023-03-02 22:00:00,1.7062,1.71096,1.70028,1.70885,34286.0
2023-03-05 22:00:00,1.70939,1.72768,1.7082,1.72403,32742.0
2023-03-06 22:00:00,1.72445,1.72813,1.71682,1.72747,51526.0
2023-03-07 22:00:00,1.72626,1.73057,1.72134,1.72642,36751.0
2023-03-08 22:00:00,1.72557,1.73501,1.71968,1.7347,28847.0
2023-03-09 22:00:00,1.7348,1.73788,1.72604,1.7341,81616.0
2023-03-12 21:00:00,1.73782,1.742,1.71274,1.72534,133872.0
2023-03-13 21:00:00,1.72462,1.73018,1.71462,1.72106,81574.0
2023-03-14 21:00:00,1.72313,1.73064,1.69712,1.70902,132689.0
2023-03-15 21:00:00,1.70872,1.72512,1.70834,1.71302,108712.0
2023-03-16 21:00:00,1.71219,1.71624,1.6991,1.70176,52804.0
2023-03-19 21:00:00,1.7007,1.71736,1.69988,1.71698,72893.0
2023-03-20 21:00:00,1.71412,1.74594,1.71412,1.73863,44210.0
2023-03-21 21:00:00,1.73854,1.74615,1.73021,1.74523,62195.0
2023-03-22 21:00:00,1.74502,1.74604,1.73184,1.7333,46427.0
2023-03-23 21:00:00,1.73316,1.73768,1.72728,1.73504,46430.0
2023-03-26 21:00:00,1.73716,1.74552,1.73315,1.74286,26226.0
2023-03-27 21:00:00,1.74233,1.74319,1.73394,1.73438,22264.0
2023-03-28 21:00:00,1.7343,1.74406,1.72844,1.74219,24034.0
2023-03-29 21:00:00,1.74206,1.74934,1.73493,1.74124,25863.0
2023-03-30 21:00:00,1.7412,1.74242,1.73284,1.73332,27882.0
2023-04-02 21:00:00,1.73215,1.74006,1.72666,1.7315,35420.0
2023-04-03 21:00:00,1.73158,1.74058,1.72682,1.73604,30690.0
